date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:42	4723/4723	---M--	200	added ('OK')	application/javascript	etag:%221273-5630baf09d300%22	https://www.careerki.com/wp-content/plugins/wp-viral-quiz-gr/resources/js/fo/quiz-perso.js?ver=1.0	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/wp-content/plugins/wp-viral-quiz-gr/resources/js/fo/quiz-perso5152.js	(from https://www.careerki.com/careerki-psychometric-test/)
20:37:42	15550/15550	---M--	200	added ('OK')	application/javascript	etag:%223cbe-5630bc47efd00%22	https://www.careerki.com/wp-content/plugins/wp-viral-quiz-gr/resources/js/fo/global.js?ver=1.0	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/wp-content/plugins/wp-viral-quiz-gr/resources/js/fo/global5152.js	(from https://www.careerki.com/careerki-psychometric-test/)
20:37:43	15019/15019	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2025%20Jun%202019%2014:37:45%20GMT	https://www.careerki.com/%e0%a6%95%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b0%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%b0-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%b8%e0%a7%8d%e0%a6%a4%e0%a7%81%e0%a6%a4%e0%a6%bf-%e0%a6%95%e0%a6%96%e0%a6%a8-%e0%a6%b6%e0%a7%81%e0%a6%b0%e0%a7%81-%e0%a6%95%e0%a6%b0%e0%a6%be-%e0%a6%89%e0%a6%9a%e0%a6%bf%e0%a6%a4/	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/%e0%a6%95%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b0%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%b0-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%b8%e0%a7%8d%e0%a6%a4%e0%a7%81%e0%a6%a4%e0%a6%bf-%e0%a6%95%e0%a6%96%e0%a6%a8-%e0%a6%b6%e0%a7%81%e0%a6%b0%e0%a7%81-%e0%a6%95%e0%a6%b0%e0%a6%be-%e0%a6%89%e0%a6%9a%e0%a6%bf%e0%a6%a4/index.html	(from https://www.careerki.com/career-content/)
20:37:43	2738/2738	---M--	200	added ('OK')	application/json	date:Tue,%2025%20Jun%202019%2014:37:45%20GMT	https://www.careerki.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.careerki.com%2Fcareerki-events%2F	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/wp-json/oembed/1.0/embed8fb9.json	(from https://www.careerki.com/careerki-events/)
20:37:44	14809/14809	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2025%20Jun%202019%2014:37:46%20GMT	https://www.careerki.com/%e0%a6%ac%e0%a7%8d%e0%a6%af%e0%a6%ac%e0%a6%b8%e0%a6%be%e0%a6%b0-%e0%a6%95%e0%a7%8d%e0%a6%b7%e0%a7%87%e0%a6%a4%e0%a7%8d%e0%a6%b0%e0%a7%87-%e0%a6%a1%e0%a6%be%e0%a6%9f%e0%a6%be-%e0%a6%95%e0%a7%80-%e0%a6%93-%e0%a6%95%e0%a7%87%e0%a6%a8/	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/%e0%a6%ac%e0%a7%8d%e0%a6%af%e0%a6%ac%e0%a6%b8%e0%a6%be%e0%a6%b0-%e0%a6%95%e0%a7%8d%e0%a6%b7%e0%a7%87%e0%a6%a4%e0%a7%8d%e0%a6%b0%e0%a7%87-%e0%a6%a1%e0%a6%be%e0%a6%9f%e0%a6%be-%e0%a6%95%e0%a7%80-%e0%a6%93-%e0%a6%95%e0%a7%87%e0%a6%a8/index.html	(from https://www.careerki.com/career-content/)
20:37:44	16491/16491	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2025%20Jun%202019%2014:37:46%20GMT	https://www.careerki.com/%e0%a6%87%e0%a6%a8%e0%a7%8d%e0%a6%a1%e0%a6%be%e0%a6%b8%e0%a7%8d%e0%a6%9f%e0%a7%8d%e0%a6%b0%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%b2-%e0%a6%85%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%a8%e0%a7%8d%e0%a6%a1-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a7%8b%e0%a6%a1%e0%a6%be%e0%a6%95%e0%a6%b6%e0%a6%a8-%e0%a6%87%e0%a6%9e%e0%a7%8d%e0%a6%9c%e0%a6%bf%e0%a6%a8%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%b0/	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/%e0%a6%87%e0%a6%a8%e0%a7%8d%e0%a6%a1%e0%a6%be%e0%a6%b8%e0%a7%8d%e0%a6%9f%e0%a7%8d%e0%a6%b0%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%b2-%e0%a6%85%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%a8%e0%a7%8d%e0%a6%a1-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a7%8b%e0%a6%a1%e0%a6%be%e0%a6%95%e0%a6%b6%e0%a6%a8-%e0%a6%87%e0%a6%9e%e0%a7%8d%e0%a6%9c%e0%a6%bf%e0%a6%a8%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%b0/index.html	(from https://www.careerki.com/career-content/)
20:37:44	2936/2936	---M--	200	added ('OK')	text/xml	date:Tue,%2025%20Jun%202019%2014:37:46%20GMT	https://www.careerki.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.careerki.com%2Fcareerki-events%2F&format=xml	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/wp-json/oembed/1.0/embed1548	(from https://www.careerki.com/careerki-events/)
20:37:44	15170/15170	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2025%20Jun%202019%2014:37:46%20GMT	https://www.careerki.com/%e0%a6%aa%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%a5%e0%a6%b2%e0%a6%9c%e0%a6%bf%e0%a6%b8%e0%a7%8d%e0%a6%9f/	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/%e0%a6%aa%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%a5%e0%a6%b2%e0%a6%9c%e0%a6%bf%e0%a6%b8%e0%a7%8d%e0%a6%9f/index.html	(from https://www.careerki.com/career-content/)
20:37:44	15270/15270	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2025%20Jun%202019%2014:37:46%20GMT	https://www.careerki.com/%e0%a6%87%e0%a6%b2%e0%a7%87%e0%a6%95%e0%a6%9f%e0%a7%8d%e0%a6%b0%e0%a6%bf%e0%a6%b6%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%a8/	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/%e0%a6%87%e0%a6%b2%e0%a7%87%e0%a6%95%e0%a6%9f%e0%a7%8d%e0%a6%b0%e0%a6%bf%e0%a6%b6%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%a8/index.html	(from https://www.careerki.com/career-content/)
20:37:45	20093/20093	---M--	200	added ('OK')	image/png	etag:%224e7d-586883f4cbf8e%22	https://www.careerki.com/wp-content/uploads/2018/08/careerki-content-800x300.png	C:/Users/Khalidur/Desktop/career%20ki/www.careerki.com/wp-content/uploads/2018/08/careerki-content-800x300.png	(from https://www.careerki.com/careerki-events/)
